SRC_TYPE,SRC,DST,EDGE_LABEL
FILE,ccsetup574 (3940),C:\Users\User\Contacts\desktop.ini,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\Favorites\desktop.ini,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\Music\desktop.ini,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\Downloads\desktop.ini,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\Downloads\desktop.ini,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\Downloads\desktop.ini,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\Documents\desktop.ini,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\Links\desktop.ini,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\Saved Games\desktop.ini,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsp9191.tmp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsp9191.tmp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\Downloads\ccsetup574.exe,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\Downloads\ccsetup574.exe,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nse91EF.tmp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nse91EF.tmp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
FILE,ccsetup574 (3940),C:\Users\User\AppData\Local\Temp\nsu9200.tmp\System.dll,FILEIO_CREATE
