C:\Windows\system32\MSIMG32.dll,ccsetup574
C:\Windows\WinSxS\x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.24356_none_5c07bd39a00d5ba6,ccsetup574,CCleaner
C:\Windows\WinSxS\x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.24356_none_5c07bd39a00d5ba6\gdiplus.dll,ccsetup574,CCleaner
C:\Windows\system32\IPHLPAPI.DLL,ccsetup574,CCUpdate
C:\Windows\system32\WINNSI.DLL,ccsetup574,PerfView,CCUpdate
C:\Windows\system32\WINHTTP.dll,ccsetup574,CCleaner,CCUpdate
C:\Windows\system32\webio.dll,ccsetup574,CCleaner,CCUpdate
C:\Windows\system32\api-ms-win-core-synch-l1-2-0.DLL,ccsetup574,CCleaner,CCUpdate
C:\Windows\system32\api-ms-win-core-fibers-l1-1-1.DLL,ccsetup574,CCleaner,CCUpdate
C:\Windows\system32\api-ms-win-core-localization-l1-2-1.DLL,ccsetup574,CCleaner,CCUpdate
C:\Windows\system32\api-ms-win-core-datetime-l1-1-1.DLL,ccsetup574,CCleaner
C:\Windows\system32\api-ms-win-core-localization-obsolete-l1-2-0.DLL,ccsetup574,CCleaner
C:\Windows\system32,ccsetup574,CCUpdate
C:\Windows\system32\,ccsetup574,CCUpdate
C:\Windows,ccsetup574,CCUpdate
C:\Windows\,ccsetup574,CCUpdate
C:\Device\Harddisk0\DR0,ccsetup574,CCUpdate
C:\Windows\system32\CRYPTSP.dll,ccsetup574
C:\Windows\system32\rsaenh.dll,ccsetup574
C:\Windows\system32\wbem\wbemprox.dll,ccsetup574
C:\Windows\system32\wbem\wbemcomn.dll,ccsetup574
C:\Windows\system32\wbemcomn.dll,ccsetup574
C:\Windows\system32\WBEM\Logs\,ccsetup574
C:\Windows\system32\RpcRtRemote.dll,ccsetup574
C:\Windows\system32\wbem\wbemsvc.dll,ccsetup574
C:\Windows\system32\wbem\fastprox.dll,ccsetup574
C:\Windows\system32\wbem\NTDSAPI.dll,ccsetup574
C:\Windows\system32\NTDSAPI.dll,ccsetup574
C:\Windows\System32\wbem\wbemcore.dll,svchost
C:\Users\User\desktop.ini,SearchProtocolHost
C:\Windows\system32\dhcpcsvc6.DLL,ccsetup574,PerfView
C:\Windows\system32\dhcpcsvc.DLL,ccsetup574,PerfView
C:\Windows\system32\api-ms-win-core-sysinfo-l1-2-1.DLL,ccsetup574,CCleaner
C:\Windows\system32\tzres.dll,ccsetup574
C:\Windows\system32\en-US\KERNELBASE.dll.mui,ccsetup574,CCleaner,CCUpdate
C:\Windows\system32\SspiCli.dll,ccsetup574,CCUpdate
C:\Windows\system32\credssp.dll,ccsetup574,CCUpdate
C:\Windows\system32\mswsock.dll,ccsetup574,CCUpdate
C:\Windows\System32\wshtcpip.dll,ccsetup574,CCUpdate
C:\Windows\System32\wship6.dll,ccsetup574,CCUpdate
C:\Windows\system32\DNSAPI.dll,ccsetup574,CCleaner,CCUpdate,PerfView
C:\Windows\system32\rasadhlp.dll,ccsetup574,CCUpdate
C:\Users\User\Downloads\PerfView\desktop.ini,SearchProtocolHost
C:\Users\User\,SearchProtocolHost,ccsetup574
C:\Users\,SearchProtocolHost,ccsetup574
C:\Windows\System32\fwpuclnt.dll,ccsetup574,CCUpdate
C:\Windows\system32\en-US\WINHTTP.dll.mui,ccsetup574
C:\Users\User\AppData\Local\Temp\nsw252C.tmp\g,ccsetup574
C:\Users\User\AppData\Local\Temp\nsw252C.tmp\g\,ccsetup574
C:\Users\User\AppData\Local\Temp\nsw252C.tmp\g\gcapi_dll.dll,ccsetup574
C:\Users\User\AppData\Local\Temp\nsw252C.tmp\g\gcapi_dll.DLL,ccsetup574
C:\Users\User\AppData\Local\Temp\nsw252C.tmp\g\gcapi_dll.DLL.2.Config,csrss
C:\Windows\system32\WINMM.dll,ccsetup574,CCleaner
C:\Users\User\AppData\Local\Temp\nsw252C.tmp\,ccsetup574
C:\Users\User\AppData\Local\,ccsetup574
C:\Users\User\AppData\,ccsetup574
C:\Users\User\AppData\Local\Temp\nsw252C.tmp\ui,ccsetup574
C:\Users\User\AppData\Local\Temp\nsw252C.tmp\ui\,ccsetup574
C:\Users\User\AppData\Local\Temp\nsw252C.tmp\ui\pfUI.dll,ccsetup574
C:\$Extend\$UsnJrnl:$J,ccsetup574
C:\Users\User\AppData\Local\Temp\nsw252C.tmp\a,ccsetup574
C:\Users\User\AppData\Local\Temp\nsw252C.tmp\a\,ccsetup574
C:\Users\User\AppData\Local\Temp\nsw252C.tmp\a\asdk.dll,ccsetup574
C:\Users\User\AppData\Local\Temp\nsw252C.tmp\a\asdk.dll.2.Config,csrss
C:\Windows\system32\POWRPROF.dll,ccsetup574,CCleaner
C:\Windows\system32\api-ms-win-appmodel-runtime-l1-1-2.DLL,ccsetup574
C:\Windows\System32\wbem\Repository\OBJECTS.DATA,svchost
C:\Windows\System32\wbem\Repository\INDEX.BTR,svchost
C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\SecStore\CiST0000.000,SearchIndexer
C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\SecStore\CiST0000.002,SearchIndexer
C:\Users\User\AppData\Local\Temp\nsw252C.tmp\nsProcess.dll,ccsetup574
C:\Users\User\AppData\Local\Temp\nsw252C.tmp\nsProcess.dll.2.Config,csrss
C:\Program Files,ccsetup574
C:\Program Files\CCleaner,ccsetup574
C:\Program Files\CCleaner\,ccsetup574,CCleaner,CCUpdate
C:\Program Files\CCleaner\CCleaner.exe,ccsetup574,CCleaner,CCUpdate
C:\Program Files\CCleaner\CCleaner.exe.DLL,ccsetup574
C:\Users\User\AppData\Local\Temp\nsw252C.tmp\inetc.dll,ccsetup574
