Time,EventName,PID,PName,FileKey,FileName,FileObject
10.4910,FileIO/Write,4,System,0xA37890F8,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.kernel\.etl,0x858417F0
11.9094,FileIO/Write,4,System,0xA37890F8,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.kernel\.etl,0x858417F0
13.2209,FileIO/Write,4,System,0xA37890F8,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.kernel\.etl,0x858417F0
14.5562,FileIO/Write,4,System,0xA37890F8,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.kernel\.etl,0x858417F0
15.9003,FileIO/Write,4,System,0xA37890F8,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.kernel\.etl,0x858417F0
17.1943,FileIO/Write,4,System,0xA37890F8,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.kernel\.etl,0x858417F0
18.4748,FileIO/Write,4,System,0xA37890F8,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.kernel\.etl,0x858417F0
19.8219,FileIO/Write,4,System,0xA37890F8,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.kernel\.etl,0x858417F0
21.2301,FileIO/Write,4,System,0xA37890F8,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.kernel\.etl,0x858417F0
22.8847,FileIO/Write,4,System,0xA37890F8,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.kernel\.etl,0x858417F0
22.9818,FileIO/Write,3568,PerfView,0x92DA90F8,C:\\Users\\User\\Downloads\\PerfView\\logfile\.txt,0x84C9E038
23.0465,FileIO/Write,3568,PerfView,0x92DA90F8,C:\\Users\\User\\Downloads\\PerfView\\logfile\.txt,0x84C9E038
36.7077,FileIO/Write,3568,PerfView,0x92DA90F8,C:\\Users\\User\\Downloads\\PerfView\\logfile\.txt,0x84C9E038
36.7167,FileIO/Write,3568,PerfView,0x92DA90F8,C:\\Users\\User\\Downloads\\PerfView\\logfile\.txt,0x84C9E038
40.7662,FileIO/Create,3568,PerfView,,C:\\Users\\User\\Downloads\\PerfView,0x84D15B58
40.9423,FileIO/Create,3568,PerfView,,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.etl,0x84D15B58
41.4184,FileIO/Write,3568,PerfView,0xA376A658,C:\\Users\\User\\Downloads\\PerfView\\PerfViewData\.etl,0x84D15B58
52.4388,FileIO/Create,3568,PerfView,,C:\\Windows\\system32\\Kernel32\.dll,0x84CB4E38
53.1699,FileIO/Create,3568,PerfView,,C:\\Windows\\system32\\Kernel32\.dll,0x84CB4E38
53.8313,FileIO/Read,3568,PerfView,0x934390F8,C:\\Windows\\System32\\kernel32\.dll,0x84CB4E38
57.8203,FileIO/Read,3568,PerfView,0x934390F8,C:\\Windows\\System32\\kernel32\.dll,0x84CB4E38
57.8264,FileIO/Read,3568,PerfView,0x934390F8,C:\\Windows\\System32\\kernel32\.dll,0x84CB4E38
95.9555,FileIO/Read,3492,svchost,0x84E79648,C:\\Device\\HarddiskVolume2,0x8597E258
96.0618,FileIO/Create,2548,SearchProtocolHost,,C:\\Users\\User\\Downloads\\PerfView\\logfile\.txt,0x84C27AB8
152.2717,FileIO/Read,3492,svchost,0x84E79648,C:\\Device\\HarddiskVolume2,0x8597E258
152.9673,FileIO/Read,3492,svchost,0x84E79648,C:\\Device\\HarddiskVolume2,0x8597E258
