Event_Name,Process_Name,File_Path,Time,PID
FileIO/Create,ccsetup574,C:\\Windows\\system32\\IMM32\.DLL,298.6125,3432
FileIO/Create,ccsetup574,C:\\Windows\\WindowsShell\.Manifest,300.2558,3432
FileIO/Create,ccsetup574,C:\\Windows\\system32\\UXTHEME\.DLL,300.5407,3432
FileIO/Create,ccsetup574,C:\\Windows\\system32\\UXTHEME\.DLL,300.5815,3432
FileIO/Create,ccsetup574,C:\\Windows\\system32\\USERENV\.DLL,300.7836,3432
FileIO/Create,ccsetup574,C:\\Windows\\system32\\USERENV\.DLL,300.8192,3432
FileIO/Create,ccsetup574,C:\\Windows\\system32\\SETUPAPI\.DLL,301.1359,3432
FileIO/Create,ccsetup574,C:\\Windows\\system32\\SETUPAPI\.DLL,301.1725,3432
FileIO/Create,ccsetup574,C:\\Windows\\system32\\VERSION\.DLL,301.8578,3432
FileIO/Create,ccsetup574,C:\\Windows\\system32\\VERSION\.DLL,301.8984,3432
FileIO/Create,ccsetup574,C:\\Windows\\system32\\SHFOLDER\.DLL,302.0270,3432
FileIO/Create,ccsetup574,C:\\Windows\\system32\\SHFOLDER\.DLL,302.0617,3432
FileIO/Create,ccsetup574,C:\\Windows\\system32\\rpcss\.dll,302.1583,3432
FileIO/Create,ccsetup574,C:\\Windows\\system32\\rpcss\.dll,302.1916,3432
FileIO/Create,ccsetup574,C:\\Windows\\system32\\rpcss\.dll,302.2486,3432
FileIO/Create,ccsetup574,C:\\Windows\\system32\\rpcss\.dll,302.2777,3432
FileIO/Create,ccsetup574,C:\\Windows\\system32\\CRYPTBASE\.dll,302.4102,3432
FileIO/Create,ccsetup574,C:\\Windows\\system32\\CRYPTBASE\.dll,302.4472,3432
FileIO/Create,ccsetup574,C:\\Windows\\Globalization\\Sorting\\sortdefault\.nls,303.5176,3432
FileIO/Create,ccsetup574,C:\\Windows\\system32\\SHELL32\.dll,303.6933,3432
FileIO/Create,ccsetup574,C:\\Users\\User\\Downloads\\ccsetup574\.exe\.Local\\,303.8048,3432
FileIO/Create,ccsetup574,C:\\Windows\\WinSxS\\x86_microsoft\.windows\.common\-controls_6595b64144ccf1df_6\.0\.7601\.18837_none_41e855142bd5705d,303.8484,3432
FileIO/Create,ccsetup574,C:\\Windows\\WinSxS\\x86_microsoft\.windows\.common\-controls_6595b64144ccf1df_6\.0\.7601\.18837_none_41e855142bd5705d,303.8855,3432
FileIO/Create,ccsetup574,C:\\,304.6256,3432
FileIO/Create,ccsetup574,C:\\Windows\\system32\\propsys\.dll,305.0338,3432
